Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
LokiJS;In-memory JavaScript DBMS;Document Store;0,32;#233;null;lokijs.org;lokijs.org/#/docs;null;2014;null;Open Source;nein;;JavaScript;Serverlos, benötigt eine JavaScript Umgebung (Browser, Node.js);schemafrei;nein;nein;ja über Views;nein;JavaScript API;JavaScript;View Functions in JavaScript;ja;keine;keine;ja;keine;nein;nein Atomare Operationen innerhalb einer Collection möglich;null;ja Serialisierung einer DB in Node.JS, Cordova/PhoneGap möglich, im Browser mittels IndexedDB-API;ja;null;nein;null; #33 ;null;null;null;null;null;null;null;null;null;null;null;null
LucidDB;null;Relational DBMS;null;null;null;luciddb.sourceforge.net;null;null;2004;0.9.4, 2012;Open Source GPLv2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;LucidDB is not being maintained since 2010 and shows no community activity since then.;null;null;null;null;null;null;null;null;null;null;null;null;null
Matisse;Objektorientiertes DMBS mit ANSI SQL;Object oriented DBMS;1,14;#140;null;www.matisse.com;www.matisse.com/developers/documentation;Matisse Software Inc.;1986;null;kommerziell free developer license available;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #5 ;null;null;null;null;null;null
CloudKit;null;Document Store;2,35;#106;null;developer.apple.com/icloud/cloudkit;null;null;2016;null;kommerziell;ja;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #18 ;null;null;null;null;null;null;null;null;null;null;null;null
TayzGrid;JCache API compliant, in-memory data grid. Developed from NCache source.;Key-Value Store;0,08;#301;null;www.alachisoft.com/tayzgrid;www.alachisoft.com/resources/docs/#tayzgrid;Alachisoft;2013;null;Open Source;nein;;Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #50 ;null;null;null;null;null;null;null;null;null;null;null
Teradata;A hybrid cloud data analytics software platform (Teradata Vantage);Relational DBMS;80,35;#15;null;www.teradata.com;docs.teradata.com;Teradata;1984;Teradata Vantage 1.0 MU2, Jänner 2019;kommerziell;nein;;null;gehostet Linux;ja;ja;ja;ja Spezielle Join-Indizes für physikalisches 'pre-joining' von Tabellen;ja SQL 2016 + extensions;.NET Client API HTTP REST JDBC JMS Adapter ODBC OLE DB;C C++ Cobol Java (JDBC-ODBC) Perl PL/1 Python R Ruby;ja UDFs, stored procedures, table functions in parallel;ja;Sharding Hashing;Master-Master Replikation Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #10 ;null;null;Document Store Graph DBMS Time Series DBMS;null;null;null;null;null;null;null
DataEase;null;Relational DBMS;0,98;#154;null;www.dataease.com;null;null;1981;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #73 ;null;null;null;null;null;null;null;null;null;null
Hawkular Metrics;Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on Cassandra.;Time Series DBMS;0,07;#310;null;www.hawkular.org;www.hawkular.org/hawkular-metrics/docs/user-guide;Community supported by Red Hat;2014;null;Open Source Apache 2.0;nein;;Java;Linux OS X Windows;schemafrei;ja;nein;nein;nein;HTTP REST;Go Java Python Ruby;nein;ja via Hawkular Alerting;Sharding basierend auf Cassandra;frei wählbarer Replikationsfaktor basierend auf Cassandra;nein;Eventual Consistency basierend auf Cassandra Immediate Consistency basierend auf Cassandra;nein;nein;ja;ja;nein;null;nein;null;null;null;null; #24 ;null;null;null;null;null;null;null;null;null
Spark SQL;Spark SQL ist ein Spark-Modul für die Verarbeitung strukturierter Daten;Relational DBMS;16,14;#35;null;spark.apache.org/sql;spark.apache.org/docs/latest/sql-programming-guide.html;Apache Software Foundation;2014;v2.4.4, September 2019;Open Source Apache 2.0;nein;;Scala;Linux OS X Windows;ja;ja;nein;nein;SQL-like DML and DDL statements;JDBC ODBC;Java Python R Scala;nein;nein;yes, utilizing Spark Core;keine;null;null;nein;nein;ja;ja;nein;null;nein;null;null;null; #21 ;null;null;null;null;null;null;null;null;null;null
Oracle;Weit verbreitetes, allgemein einsetzbares RDBMS;Relational DBMS;1336,07;#1;null;www.oracle.com/database;docs.oracle.com/en/database;Oracle;1980;19c, Februar 2019;kommerziell eingeschränkte kostenlose Version verfügbar;nein;;C und C++;AIX HP-UX Linux OS X Solaris Windows z/OS;ja Schemaless in JSON and XML columns;ja;ja;ja;ja mit proprietären Erweiterungen;JDBC ODBC ODP.NET Oracle Call Interface (OCI);C C# C++ Clojure Cobol Delphi Eiffel Erlang Fortran Groovy Haskell Java JavaScript Lisp Objective C OCaml Perl PHP Python R Ruby Scala Tcl Visual Basic;PL/SQL auch Java stored procedures möglich;ja;horizontale Partitionierung mit der Option Oracle Partitioning;Master-Master Replikation Master-Slave Replikation;nein kann in PL/SQL realisiert werden;Immediate Consistency;ja;ACID mit parameterisierbarem isolation level;ja;ja;ja Version 12c introduced the new option 'Oracle Database In-Memory';null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #1 ;null;null;Document Store Graph DBMS with Oracle Spatial and Graph RDF Store with Oracle Spatial and Graph;null;null;null;null;null;null;null
Yellowbrick;Data Warehouse appliance and cloud service;Relational DBMS;0,36;#227;null;yellowbrick.com;yellowbrick.com/product-documentation;Yellowbrick Data;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #107 ;null;null;null;null;null;null;null;null;null;null
Snowflake;Data warehousing service aus der Cloud für strukturierte und semi-strukturierte Daten;Relational DBMS;2,56;#101;null;www.snowflake.com;docs.snowflake.net/manuals/index.html;Snowflake Computing Inc.;2014;null;kommerziell;ja;;null;gehostet;ja support of semi-structured data formats (JSON, XML, Avro);ja;ja;null;ja;CLI Client JDBC ODBC;JavaScript (Node.js) Python;user defined functions;nein similar concept for controling cloud resources;ja;ja;nein;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept und Benutzerrollen;null;null;null; #50 ;null;null;null;null;null;null;null;null;null;null
Exorbyte;null;Suchmaschine;0,06;#316; #17 ;www.exorbyte.com;null;null;2000;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
AgensGraph;Multi-model database supporting relational and graph data models and built upon PostgreSQL;Graph DBMS Relational DBMS;0,16;#265;null;bitnine.net;bitnine.net/documentation;Bitnine Global Inc.;2016;2.1, Dezember 2018;Open Source Apache License 2.0;nein;;C;Linux OS X Windows;depending on used data model;ja;nein;ja;ja;Cypher Query Language JDBC;C Java JavaScript Python;ja;nein;nein, aber über Tabellenvererbung möglich;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;nein; #23 ;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #125 ;null;null;null;null;null;null;null;null;null;null
Scalaris;null;Key-Value Store;0,35;#228;null;scalaris.zib.de;null;null;2010;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #42 ;null;null;null;null;null;null;null;null;null;null;null
Trafodion;Transactional SQL-on-Hadoop DBMS;Relational DBMS;0,42;#216;null;trafodion.apache.org;trafodion.apache.org;Apache Software Foundation, originally developed by HP;2014;2.3.0, Februar 2019;Open Source Apache 2.0;nein;;C++, Java;Linux;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC;All languages supporting JDBC/ODBC/ADO.Net;Java Stored Procedures;nein;Sharding;ja, durch HBase;ja mittels user defined functions und HBase;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #102 ;null;null;null;null;null;null;null;null;null;null
SAP Advantage Database Server frÃ¼herer Name: Sybase ADS;Low-cost RDBMS with access to ISAM and FoxPro data structures;Relational DBMS;3,09;#86;null;www.sap.com/products/advantage-database-server.html;null;Sybase, SAP;1993;null;kommerziell;nein;;null;Linux Windows;ja;ja;nein;ja;ja;.NET Client API ADO.NET JDBC ODBC OLE DB;Delphi Perl PHP;ja;ja;keine;Master-Master Replikation CONFLICT Trigger to resolve replication conflicts Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;nein caching of (temporary) tables can be configured;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #43 ;null;null;null;null;null;null;null;null;null;null
