Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
HyperDex;null;Key-Value Store;null;null;null;hyperdex.org;null;null;null;1.8.0, Juli 2015;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;HyperDex is no longer maintained (as of Nov 2016) and is removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
K-DB;Oracle compatible DBMS for Inspur's own K1 mainframe, available in China;Relational DBMS;0,00;#344;null;www.inspur.com;null;Inspur Group;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #139 ;null;null;null;null;null;null;null;null;null;null
Tokyo Cabinet;null;Key-Value Store;0,58;#194;null;fallabs.com/tokyocabinet;null;null;2009;1.2.76, Mai 2012;Open Source GPL;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #32 ;null;null;null;null;null;null;null;null;null;null;null
ScimoreDB;null;Relational DBMS;null;null;null;www.scimore.com (offline);null;null;null;4.0.2782.26, Juni 2013;kommerziell Lizenzen sind gratis;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;ScimoreDB is discontinued and therefore not included in the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
NonStop SQL;null;Relational DBMS;0,96;#157;null;www.hpe.com/us/en/servers/nonstop.html;null;HP, originally by Tandem;1987;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #75 ;null;null;null;null;null;null;null;null;null;null
Google Cloud Datastore;Selbst skalierendes NoSQL Datenbankservice in der Google Cloud Plattform;Document Store;5,21;#61;null;cloud.google.com/datastore;cloud.google.com/datastore/docs;Google;2008;null;kommerziell;ja;;null;gehostet;schemafrei;ja, Details hier;nein;ja;SQL-like query language (GQL);gRPC (using protocol buffers) API RESTful HTTP/JSON API;.Net Go Java JavaScript (Node.js) PHP Python Ruby;mit Google App Engine;Callbacks mit Google Apps Engine;Sharding;Multi-Master replication using Paxos;ja mittels Google Cloud Dataflow;Immediate Consistency or Eventual Consistency depending on type of query and configuration Strong Consistency is default for entity lookups and queries within an Entity Group (but can instead be made eventually consistent). Other queries are always eventual consistent.;ja via ReferenceProperties or Ancestor paths;ACID Serializable Isolation within Transactions, Read Committed outside of Transactions;ja;ja;nein;null;Access rights for users, groups and roles based on Google Cloud Identity and Access Management (IAM);null; #11 ;null;null;null;null;null;null;null;null;null;null;null;null
Jackrabbit;null;Content Store;4,36;#70;null;jackrabbit.apache.org;null;Apache Software Foundation;2006;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #1 
CrateDB;Verteilter Data Store basierend auf Lucene;Relational DBMS Suchmaschine;0,60;#192; #13 ;crate.io;crate.io/docs;Crate;2013;null;Open Source;nein;;Java;Alle Betriebssysteme mit einer Java 7 VM;Flexible Schema (defined schema, partial schema, schema free);ja;nein;ja;yes, but no triggers and constraints;ADO.NET community maintained client JDBC MQTT (Message Queue Telemetry Transport) PostgreSQL wire protocol Prometheus Remote Read/Write RESTful HTTP API;Erlang Go community maintained client Java JavaScript (Node.js) community maintained client Perl community maintained client PHP Python Ruby community maintained client Scala community maintained client;benutzerdefinierte Funktionen;nein;Sharding;frei wählbarer Replikationsfaktor;nein;Eventual Consistency Read Your Own Writes Consistency for primary key lookups;nein;nein unique row identifiers can be used for implementing an optimistic concurrency control strategy;ja;ja;nein;null;Rechteverwaltung mit Benutzeraccounts;null;null;null; #94 ;null;null;Document Store;null;null;null;null;null;null;null
GraphBase;null;Graph DBMS;0,09;#292;null;graphbase.net;null;null;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #28 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Endeca;Plattform für die Analyse von Big Data;Suchmaschine;null;null;null;www.oracle.com/applications/customer-experience/ecommerce/products/commerce-platform/index.html;null;null;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Endeca wurde in Oracle's commerce und business intelligence Plattformen integriert und ist kein eigenständiges Produkt mehr. Deshalb wurde es aus dem DB-Engines Ranking entfernt.;null;null;null;null;null;null;null;null;null;null;null;null;null
HyperLevelDB;A fork of Google's LevelDB;Key-Value Store;0,04;#333;null;hyperdex.org/performance/leveldb;null;null;2010;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #60 ;null;null;null;null;null;null;null;null;null;null;null
CovenantSQL;A decentralized blockchain relational DBMS, built with SQLite;Relational DBMS;0,09;#293;null;covenantsql.io;developers.covenantsql.io/docs/en/intro;null;2018;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #131 ;null;null;null;null;null;null;null;null;null;null
BrightstarDB;null;RDF Store;0,08;#295;null;brightstardb.com;null;null;2012;null;Open Source;nein;;C#;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #18 ;null;null;null;null;null
OpenEdge;Anwendungsentwicklungsumgebung mit integrierter Datenbank;Relational DBMS;3,80;#74;null;www.progress.com/openedge;documentation.progress.com/output/ua/OpenEdge_latest;Progress Software Corporation;1984;OpenEdge 11.7, Maerz 2017;kommerziell;nein;;null;AIX HP-UX Linux Solaris Windows;ja;ja;nein;ja;ja close to SQL 92;JDBC ODBC;Progress proprietary ABL (Advanced Business Language);ja;ja;horizontale Partitionierung since Version 11.4;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer und Gruppen;null;null;null; #38 ;null;null;null;null;null;null;null;null;null;null
JaguarDB;Performant, highly scalable DBMS for AI and IoT applications;Key-Value Store;0,00;#344;null;www.datajaguar.com;www.datajaguar.com/support.php;DataJaguar, Inc.;2015;2.9.4 September 2018;Open Source GPL V3.0;nein;;C++ the server part. Clients available in other languages;Linux;ja;ja;nein;ja;A subset of ANSI SQL is implemented but no views, foreign keys, triggers;JDBC ODBC;C C++ Go Java JavaScript (Node.js) PHP Python Ruby Scala;nein;nein;Sharding;Master-Master Replikation;nein;Eventual Consistency;nein;nein;ja;ja;nein;null;Rechteverwaltung mit Benutzeraccounts;null;null; #63 ;null;null;null;null;null;null;null;null;null;null;null
Apache Drill;Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage;Document Store Relational DBMS;2,89;#92;null;drill.apache.org;drill.apache.org/docs;Apache Software Foundation;2012;1.16, Mai 2019;Open Source Apache Version 2;nein;;null;Linux OS X Windows;schemafrei;ja;nein;nein;SQL SELECT statement is SQL:2003 compliant;JDBC ODBC RESTful HTTP API;C++;benutzerdefinierte Funktionen;nein;Sharding;null;ja;keine;nein;nein;ja;Depending on the underlying data source;Depending on the underlying data source;null;Depending on the underlying data source;null; #17 ;null; #45 ;null;null;null;null;null;null;null;null;null;null
Splice Machine;Open-Source SQL RDBMS powered by Spark and Hadoop;Relational DBMS;0,72;#178;null;www.splicemachine.com;doc.splicemachine.com;John Leach;2014;2.0;Open Source extended commercial Enterprise edition available;nein;;Java;Linux OS X Solaris Windows;ja;ja;null;ja;ja;JDBC ODBC;Java JRuby Scala;ja Java;ja;Sharding;Master-Master Replikation Master-Slave Replikation;nein uses HBase instead;Immediate Consistency;ja;ACID;ja;ja;ja;null;Access rights for users, groups and roles according to SQL-standard;null;null;null; #89 ;null;null;null;null;null;null;null;null;null;null
NuoDB;NuoDB ist eine skalierbare verteilte Datenbank, mit SQL und ACID Transaktionen;Relational DBMS;0,92;#160;null;www.nuodb.com;doc.nuodb.com;NuoDB, Inc.;2013;null;kommerziell Limitierte Edition gratis;nein;;C++;gehostet Amazon EC2, Windows Azure, SoftLayer Linux OS X Windows;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC;.Net C C++ Go Java JavaScript JavaScript (Node.js) PHP Python Ruby;Java, SQL;ja;dynamische Verteilung der Daten auf die einzelnen Knoten;ja Managed transparently by NuoDB;nein;Immediate Consistency;ja;ACID tunable commit protocol;ja MVCC;ja;ja Temporary table;null;Standard SQL Rollen und Rechte;null;null;null; #77 ;null;null;null;null;null;null;null;null;null;null
Sparksee;null;Graph DBMS;0,15;#267;null;sparsity-technologies.com/#sparksee;null;null;2008;v5.2, 2015;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #24 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Algolia;Fully customizable, hosted Search API;Suchmaschine;4,89;#66; #8 ;www.algolia.com;www.algolia.com/doc;null;2012;null;kommerziell;ja;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
BergDB;BergDB ist ein Java/.NET in-process time-key-value store.;Key-Value Store;0,03;#338;null;bergdb.com;null;null;2013;null;Open Source Gnu Affero General Public License (AGPL);nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #62 ;null;null;null;null;null;null;null;null;null;null;null
Yaacomo;OpenCL based in-memory RDBMS, designed for efficiently utilizing the hardware via parallel computing;Relational DBMS;0,00;#344;null;yaacomo.com;null;Q2WEB GmbH;2009;null;kommerziell;nein;;null;Android Linux Windows;ja;ja;nein;ja;ja;JDBC ODBC;null;null;ja;horizontale Partitionierung;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #139 ;null;null;null;null;null;null;null;null;null;null
ObjectStore;null;Object oriented DBMS;1,55;#128;null;ignitetech.com/objectstore;null;Ignite Technologies;1988;2013 Update 1, April 2014;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #3 ;null;null;null;null;null;null
ScaleOut StateServer;null;Key-Value Store;0,06;#318;null;www.scaleoutsoftware.com/products/stateserver;null;null;2005;null;kommerziell;nein;;C++, Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #56 ;null;null;null;null;null;null;null;null;null;null;null
Hypertable;Eine Open Source BigTable Implementation basierend auf Distributed File Systems wie Hadoop;Wide Column Store;null;null;null;null;null;Hypertable Inc.;2009;0.9.8.11, Maerz 2016;Open Source GNU Version 3. Kommerzielle Lizenzen verfügbar;nein;;C++;Linux OS X Windows ein inoffizieller Windows-Port ist verfügbar;schemafrei;nein;null;eingeschränkt Nur Gleichheits- und Präfixabfragen;nein;C++ API Thrift;C++ Java Perl PHP Python Ruby;nein;nein;Sharding;wählbarer Replikationsfaktor auf Filesystemebene;ja;Immediate Consistency;nein;nein;ja;ja;null;null;nein;Hypertable has stopped its further development with March 2016 and is removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
ArangoDB;Ein multi-model DBMS;Document Store Graph DBMS Key-Value Store Suchmaschine;5,02;#64; #7 ;www.arangodb.com;www.arangodb.com/documentation;ArangoDB GmbH / triagens GmbH;2012;3.5.0, August 2019;Open Source Apache Version 2;nein;ArangoDB Oasis: Built and supported by the creators of ArangoDB, Oasis provides fully hosted, managed, and monitored cluster deployments of any size, with enterprise-grade security.;C, C++, JavaScript;Linux OS X Raspbian Solaris Windows;schemafrei Innerhalb einer Collection wird das Schema automatisch erkannt;ja string, double, boolean, list, hash;null;ja;nein;HTTP API JSON style queries;C# Clojure Java JavaScript (Node.js) PHP Python Ruby;JavaScript;nein;Sharding Ab Version 2.0;Master-Slave Replikation;nein Möglich über stored procedures in JavaScript;Eventual Consistency Einstellbar per collection oder per Write Immediate Consistency;nein;ACID;ja;ja;null; #4 ;ja;null; #12 ; #11 ;null;null;null;null;null;null;null;null;null;null;null
Stardog;Enterprise Knowledge Graph and graph DBMS with high availability and high performance reasoning;Graph DBMS RDF Store;0,76;#170;null;www.stardog.com;www.stardog.com/docs;Stardog-Union;2010;6.2.3, Juli 2019;kommerziell 60-day fully-featured trial license, 1-year fully-featured non-commercial use license for academics/students;nein;;Java;Linux macOS Windows;schema-free and OWL/RDFS-schema support;ja;nein Importieren/Exportieren von XML Daten möglich;ja supports real-time indexing in full-text and geospatial;SPARQL is used as query language;GraphQL query language HTTP API Jena RDF API OWL RDF4J API Sesame REST HTTP Protocol SNARL SPARQL Spring Data Stardog Studio TinkerPop 3;.Net Clojure Groovy Java JavaScript Python Ruby;user defined functions and aggregates, HTTP Server extensions in Java;ja via event handlers;keine;Master-Master Replikation in HA-Cluster;nein;Immediate Consistency in HA-Cluster;ja Beziehungen in Graphen;ACID;ja;ja;ja; #13 ;Zugriffsrechte für Benutzer und Rollen;null;null;null;null;null;null;null;null; #7 ;null;null;null;null;null
Rainstor;Big Data database system for archiving, querying and analyzing historical data;Relational DBMS;null;null;null;null;null;Rainstor, Inc. Acquired by Teradata in December 2014;2002;null;kommerziell;nein;;null;null;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC;.Net Java;null;null;null;null;ja supports Pig and Hive, can run on HDFS;null;ja;ACID;ja;ja;nein;null;Zugriffsrechte für Benutzer und Rollen Integrates with LDAP and Active Directory;Rainstor was acquired by Teradata in 2014. In December 2016 Teradata dropped Rainstor from its portfolio. Rainstor is no longer developed or marketed and therefore removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
IDMS;null;Navigational DBMS;0,99;#152;null;www.ca.com/us/products/ca-idms.html;null;null;1973;18.5;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #2 ;null;null;null
Vertica Vertica Analytics Platform;Columnar relational DBMS designed to handle modern analytic workloads, enabling fast query performance;Relational DBMS;22,55;#29;null;www.vertica.com;www.vertica.com/documentation/vertica;Vertica / Micro Focus prior to that Hewlett Packard;2005;Vertica Analytics Platform 9.2.x, März 2019;kommerziell Limitierte Community Edition gratis;nein available on Amazon AWS and Microsoft Azure;;null;Linux;ja Unstrukturierte Daten können mit Flex-tables verwaltet werden;ja;ja;nein The concept of 'projections' can be used instead of indexes.;ja nearly full SQL99 without support for indexes and triggers;ADO.NET JDBC Kafka ODBC Propriätäres Protokoll RESTful HTTP API;C++ Java Perl Python R;ja;nein;Sharding Segmentation, Projection Segmentation, Hash Segmentation;Master-Master Replikation Cluster level and Object level replication;ja mittel Vertica Connector for Hadoop;Immediate Consistency;ja;ACID;ja;ja;null;null;fine grained access rights according to SQL-standard, supports Kerberos, LDAP, Ident and hash;null;null;null; #17 ;null;null;Document Store;null;null;null;null;null;null;null
Microsoft Azure Table Storage;A Wide Column Store for rapid development using massive semi-structured datasets;Wide Column Store;5,00;#65;null;azure.microsoft.com/en-us/services/storage/tables;null;Microsoft;2012;null;kommerziell;ja;;null;gehostet;schemafrei;ja;nein;nein;nein;RESTful HTTP API;.Net C# C++ Java JavaScript (Node.js) PHP Python Ruby;nein;nein;Sharding Implicit feature of the cloud service;ja implicit feature of the cloud service. Replication either local, cross-facility or geo-redundant.;nein;Immediate Consistency;nein;optimistic Locking;ja;ja;nein;null;Access rights based on private key authentication or shared access signatures;null;null;null;null;null;null;null;null;null; #5 ;null;null;null;null
MonetDB;Ein relationales Datenbankmanagementsystem mit spaltenweiser Abspeicherung der Daten;Relational DBMS;1,91;#115;null;www.monetdb.org;www.monetdb.org/Documentation;MonetDB BV;2004;Apr2019, April 2019;Open Source Mozilla Public License 2.0;nein;;C;FreeBSD Linux OS X Solaris Windows;ja;ja;null;ja;ja SQL 2003 mit einigen Erweiterungen;JDBC native C library MAPI library (MonetDB application programming interface) ODBC;C C++ Java JavaScript (Node.js) Perl PHP Python R Ruby;yes, in SQL, C, R;ja;Sharding via remote tables;keine Master-slave replication available in experimental status;nein;null;ja;ACID;ja;ja;null;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #57 ;null;null;Document Store;null;null;null;null;null;null;null
EJDB;Eingebettete Library mit JSON-Notation für Queries (Syntax ähnlich zu MongoDB);Document Store;0,18;#262;null;ejdb.org;github.com/Softmotions/ejdb/blob/master/README.md;Softmotions;2012;null;Open Source GPLv2;nein;;C;serverlos;schemafrei;ja string, integer, double, bool, date, object_id;null;nein;nein;In-process Library;Actionscript C C# C++ Go Java JavaScript (Node.js) Lua Objective-C Pike Python Ruby;nein;nein;keine;keine;nein;null;nein Normalerweise nicht gebraucht, ähnliche Funktionalität mit collection joins;nein;ja Read/Write Locking;ja;null;null;nein;null; #36 ;null;null;null;null;null;null;null;null;null;null;null;null
NexusDB;null;Relational DBMS;0,55;#201;null;www.nexusdb.com;null;null;2003;4.13.01, Oktober 2017;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #97 ;null;null;null;null;null;null;null;null;null;null
Tarantool;null;Key-Value Store;1,13;#142;null;tarantool.org;null;null;2008;2.1.2, April 2019;Open Source BSD;nein;;C und C++;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #23 ;null;null;null;null;null;null;null;null;null;null;null
TempoIQ frÃ¼her TempoDB;Scalable analytics DBMS for sensor data, provided as a service (SaaS);Time Series DBMS;0,07;#311;null;www.tempoiq.com;app.tempoiq.com/docs/html/index.html;TempoIQ;2012;null;kommerziell;ja;;null;null;schemafrei;ja;nein;null;nein;HTTP API;C# Java JavaScript Node.js Python Ruby;nein;ja Realtime Alerts;null;null;nein;null;nein;nein;ja;ja;nein;null;einfacher Authentication-basierter Zugriffsschutz;null;null;null;null; #25 ;null;null;null;null;null;null;null;null;null
MarkLogic;Operational and transactional Enterprise NoSQL database;Document Store Native XML DBMS RDF Store ab Version 7 Suchmaschine;12,82;#38; #4 ;www.marklogic.com;docs.marklogic.com;MarkLogic Corp.;2001;9.0, 2017;kommerziell eingeschränkte kostenlose Version verfügbar;nein;;C++;Linux OS X Windows;schemafrei Schema kann erzwungen werden;ja;ja;ja;ja SQL92;Java API Node.js Client API ODBC proprietary Optic API Proprietary Query API, introduced with version 9 RESTful HTTP API SPARQL WebDAV XDBC XQuery XSLT;C C# C++ Java JavaScript (Node.js) Perl PHP Python Ruby;ja via XQuery or JavaScript;ja;Sharding;ja;ja Ãœber Hadoop Connector, HDFS Direct Access und in-database MapReduce Jobs;Immediate Consistency;nein;ACID can act as a resource manager in an XA/JTA transaction;ja;ja;yes, with Range Indexes;null;Rollen-basierte Zugriffskontrolle auf Dokumenten- und Subdokumentenebene;null; #6 ;null;null;null;null;null;null; #1 ;null;null;null; #1 ;null
Xapian;Open Source search engine library;Suchmaschine;0,74;#173; #12 ;xapian.org;xapian.org/docs;null;1986;1.4.12, Juli 2019;Open Source GPLv2;nein;;C++;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Db4o;null;Object oriented DBMS;1,33;#134;null;sourceforge.net/projects/db4o;null;null;2001;8.0;Open Source commercial license available for existing customers only;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #4 ;null;null;null;null;null;null
Atos Standard Common Repository;Highly scalable database system, designed for managing session and subscriber data in modern mobile communication networks;Document Store Key-Value Store;0,00;#344;null;atos.net/en/convergence-creators/portfolio/standard-common-repository;null;Atos Convergence Creators;2016;1703;kommerziell;nein;;Java;Linux;Schema and schema-less with LDAP views;optional;ja;ja;nein;LDAP;All languages with LDAP bindings;nein;ja;Sharding cell division;ja;null;Immediate Consistency or Eventual Consistency depending on configuration;nein;Atomic execution of specific operations;ja;ja;ja;null;LDAP bind authentication;null; #49 ; #63 ;null;null;null;null;null;null;null;null;null;null;null
FlureeDB;A Graph DBMS built with blockchain technology;Graph DBMS;0,00;#344;null;flur.ee;null;Fluree, PBC;2018;null;kommerziell free community version available;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #33 ;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ParAccel;null;Relational DBMS;null;null;null;www.actian.com;null;null;null;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;ParAccel was acquired by Actian and is discontinued. As a consequence ParAccel is removed from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
FatDB;Ein .NET NoSQL DBMS, das in SQL Server integriert werden kann.;Document Store Key-Value Store;null;null;null;null;null;FatCloud;2012;null;kommerziell;nein;;C#;Windows;schemafrei;ja;null;ja;nein Ãœber Integration mit SQL Server;.NET Client API LINQ RESTful HTTP API RPC Windows WCF Bindings;C#;ja Ãœber Applikationen;ja Ãœber Applikationen;Sharding;frei wählbarer Replikationsfaktor;ja;Eventual Consistency Immediate Consistency;nein;nein;ja;ja;null;null;nein Security Layer kann über Applikationen implementiert werden;Das Unternehmen FatDB/FatCloud hat im Februar 2014 seine Tätigkeit beendet. FatDB wurde eingestellt und erscheint deshalb nicht mehr im Ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
FileMaker;FileMaker ist ein RDBMS mit einem GUI Frontend.;Relational DBMS;55,73;#18;null;www.filemaker.com;www.filemaker.com/support/product/documentation.html;FileMaker ein Tochterunternehmen von Apple;1983;18, Mai 2019;kommerziell;nein;;null;iOS OS X Windows;ja;ja;ja Eine http Query kann die Daten als XML zurück geben;ja;ja über PlugIns;Filemaker WebDirect JDBC ODBC;PHP;ja;ja;keine;Master-Slave Replikation since Version 14;nein;null;ja;nein;ja;ja;null;null;einfache Rechteverwaltung mit Benutzeraccounts und Anbindung an externe directory services;null;null;null; #11 ;null;null;null;null;null;null;null;null;null;null
HyperSQL also known as HSQLDB;In Java gesschriebenes multithreaded und transaktionales RDBMS Auch bekannt unter HSQLDB;Relational DBMS;4,89;#67;null;hsqldb.org;hsqldb.org/web/hsqlDocsFrame.html;null;2001;2.5.0, Juni 2019;Open Source Basiert auf BSD-Lizenz;nein;;Java;Alle Betriebssysteme mit einer Java VM Embedded (into Java applications) and Client-Server operating modes;ja;ja;nein;ja;ja;HTTP API JDBC via HTTP JDBC ODBC;All languages supporting JDBC/ODBC Java;Java, SQL;ja;keine;keine;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #35 ;null;null;null;null;null;null;null;null;null;null
MemSQL;MySQL wire-compliant distributed RDBMS that combines an in-memory row-oriented and a disc-based column-oriented storage;Relational DBMS;4,06;#71;null;www.memsql.com;docs.memsql.com;MemSQL Inc.;2013;6.8, August 2019;kommerziell free developer edition available;nein;;C++;Linux 64 bit version required;ja;ja;nein;ja;yes, but no triggers and foreign keys;JDBC ODBC;Bash C C# Java JavaScript (Node.js) Python;ja;nein;Sharding;Master-Slave Replikation;nein;Immediate Consistency only within each node;nein;ACID Only isolation level: READ COMMITED;yes, multi-version concurrency control (MVCC);ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #37 ;null;null;Document Store;null;null;null;null;null;null;null
Microsoft Azure SQL Data Warehouse;Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server;Relational DBMS;9,43;#42;null;azure.microsoft.com/services/sql-data-warehouse;docs.microsoft.com/azure/sql-data-warehouse;Microsoft;2016;null;kommerziell;ja;;C++;gehostet;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC;C# Java PHP;Transact SQL;nein;Sharding, horizontal partitioning;ja;nein;Immediate Consistency;ja;ACID;ja;ja;null;null;ja;null;null;null; #26 ;null;null;null;null;null;null;null;null;null;null
LightCloud;null;Key-Value Store;null;null;null;github.com/Plurk/LightCloud;null;null;null;null;Open Source BSD;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;This system is discontinued. No development since 2010.;null;null;null;null;null;null;null;null;null;null;null;null;null
Memcached;In-memory Key-Value Store, ursprünglich entwickelt für Caching;Key-Value Store;25,12;#28;null;www.memcached.org;github.com/memcached/memcached/wiki;Danga Interactive ursprünglich von Brad Fitzpatrick für LiveJournal entwickelt;2003;1.5.12, November 2018;Open Source BSD Lizenz;nein;;C;FreeBSD Linux OS X Unix Windows;schemafrei;nein;null;nein;nein;Propriätäres Protokoll;.Net C C++ ColdFusion Erlang Java Lisp Lua OCaml Perl PHP Python Ruby;nein;nein;keine;keine Repcached, ein Memcached Patch, liefert Replication;nein;null;nein;nein;ja;nein;null;null;ja mittels SASL (Simple Authentication and Security Layer) Protokoll;null;null; #4 ;null;null;null;null;null;null;null;null;null;null;null
Interbase;Leichtgewichtiges bewährtes RDBMS ursprünglich von Borland;Relational DBMS;6,53;#52;null;www.embarcadero.com/products/interbase;docs.embarcadero.com/products/interbase;Embarcadero;1984;InterBase 2017, Maerz 2017;kommerziell;nein;;C;Android iOS Linux OS X Windows;ja;ja;nein Exportieren als XML möglich;ja;ja;ADO.NET JDBC ODBC;.Net C C++ Delphi Java Object Pascal PHP Ruby;ja Interbase procedure and trigger language;ja;keine;Interbase Change Views;nein;Immediate Consistency;ja;ACID;ja Multiversion concurreny control;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #30 ;null;null;null;null;null;null;null;null;null;null
GridDB;Scalable in-memory time series database optimized for IoT and Big Data;Time Series DBMS;0,57;#197;null;griddb.net;griddb.net/en/docs/documents/1-1_what-is-griddb.php;Toshiba Corporation;2013;4.2, Juni 2019;Open Source AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available;nein;;C++;Linux;ja;ja numerical, string, blob, geometry, boolean, timestamp;nein;ja;SQL92 (advanced edition only), SQL-like TQL (Toshiba Query Language);Proprietäres Protokoll;C C++ Go Java JavaScript (Node.js) Perl PHP Python Ruby;nein;ja;Sharding;Master-Slave Replikation;Connector for using GridDB as an input source and output destination for Hadoop MapReduce jobs;Immediate consistency within container, eventual consistency across containers;nein;ACID at container level;ja;ja;ja;null;Access rights for users can be defined per database;null;null;null;null; #10 ;null;Key-Value Store Relational DBMS;null;null;null;null;null;null;null
